"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"Indian Institute of Technology Patna","B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","B. Tech. (ECE) - M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","B. Tech. (EEE)-M. Tech. in (Power & Control) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",10,0,10
"Indian Institute of Technology Patna","BS in Economics with MBA (IIM Bodh Gaya) (5 Years, Bachelor of Science and MBA (Dual Degree))",6,0,6
"Indian Institute of Technology Roorkee","Chemical Engineering (4 Years, Bachelor of Technology)",109,8,117
"Indian Institute of Technology Roorkee","Civil Engineering (4 Years, Bachelor of Technology)",133,21,154
"Indian Institute of Technology Roorkee","Computer Science and Engineering (4 Years, Bachelor of Technology)",94,15,109
"Indian Institute of Technology Roorkee","Electrical Engineering (4 Years, Bachelor of Technology)",150,15,165
"Indian Institute of Technology Roorkee","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",100,9,109
"Indian Institute of Technology Roorkee","Engineering Physics (4 Years, Bachelor of Technology)",47,3,50
"Indian Institute of Technology Roorkee","Mechanical Engineering (4 Years, Bachelor of Technology)",125,25,150
"Indian Institute of Technology Roorkee","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",70,12,82
"Indian Institute of Technology Roorkee","Production and Industrial Engineering (4 Years, Bachelor of Technology)",50,8,58
"Indian Institute of Technology Roorkee","Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",40,0,40
"Indian Institute of Technology Roorkee","Biosciences and Bioengineering (4 Years, Bachelor of Technology)",44,2,46
"Indian Institute of Technology Roorkee","Energy Engineering (4 Years, Bachelor of Technology)",20,0,20
"Indian Institute of Technology Roorkee","Architecture (5 Years, Bachelor of Architecture)",30,0,30
"Indian Institute of Technology Roorkee","Geological Technology (5 Years, Integrated Master of Technology)",38,0,38
"Indian Institute of Technology Roorkee","Geophysical Technology (5 Years, Integrated Master of Technology)",38,3,41
