Institute Name,Program Name,Seat Capacity,Female Supernumerary,Total
Indian Institute of Technology Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",56,14,70
Indian Institute of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",40,10,50
Indian Institute of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",24,6,30
Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",24,6,30
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",55,14,69
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",42,11,53
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",83,21,104
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",118,30,148
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",103,26,129
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",153,39,192
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",68,17,85
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",119,30,149
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",39,10,49
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",41,11,52
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",51,13,64
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",36,9,45
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",34,9,43
Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",22,6,28
Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",54,1,55
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",108,3,111
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",111,6,117
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",81,6,87
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",148,6,154
Indian Institute of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",37,5,42
Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",30,0,30
Indian Institute of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",122,22,144
Indian Institute of Technology Madras,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",49,5,54
Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",50,0,50
