Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",20,0,20,20,0,20,0
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",20,0,20,20,0,20,0
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology) HIMACHAL PRADESH",25,0,25,25,0,25,0
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",25,0,25,25,0,25,0
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology) HIMACHAL PRADESH",62,0,62,63,0,63,1
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than HIMACHAL PRADESH",63,0,63,62,0,62,-1
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology) KARNATAKA",20,0,20,20,0,20,0
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology) Other than KARNATAKA",20,0,20,20,0,20,0
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology) KARNATAKA",29,0,29,29,2,31,2
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29,0,29,29,1,30,1
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology) KARNATAKA",58,0,58,58,0,58,0
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",57,0,57,57,0,57,0
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology) KARNATAKA",15,0,15,15,0,15,0
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology) Other than KARNATAKA",15,0,15,15,0,15,0
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology) KARNATAKA",57,0,57,57,0,57,0
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58,0,58,58,0,58,0
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) KARNATAKA",58,0,58,58,0,58,0
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58,0,58,58,0,58,0
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) KARNATAKA",58,0,58,58,0,58,0
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",58,0,58,58,0,58,0
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology) KARNATAKA",38,0,38,38,0,38,0
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology) Other than KARNATAKA",38,0,38,38,0,38,0
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology) KARNATAKA",87,0,87,87,0,87,0
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",87,0,87,87,1,88,1
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) KARNATAKA",29,1,30,29,0,29,-1
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29,0,29,29,0,29,0
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology) KARNATAKA",29,0,29,29,1,30,1
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology) Other than KARNATAKA",29,1,30,29,0,29,-1
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17,0,17,17,0,17,0
National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16,0,16,16,0,16,0
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16,0,16,16,0,16,0
National Institute of Technology Meghalaya,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17,0,17,17,0,17,0
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16,0,16,16,0,16,0
National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17,0,17,17,0,17,0
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MEGHALAYA",16,0,16,16,0,16,0
National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",17,0,17,17,0,17,0
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology) MEGHALAYA",17,0,17,17,0,17,0
National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MEGHALAYA",16,0,16,16,0,16,0
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15,15,0,15,0
National Institute of Technology Nagaland,"Civil Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,0,18,18,0,18,0
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15,15,0,15,0
National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than NAGALAND",18,0,18,18,1,19,1
National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology) NAGALAND",15,0,15,15,0,15,0
